Feature,Type,BERT Label,FinBERT Label
34,Consistent Financial,Explanation could not be parsed,"Various types of punctuation marks, special characters, and"
42,Emerging Financial,Explanation could not be parsed,"A mix of normal words and special characters,"
43,Emerging Financial,Feature_43,"""more"" is frequently used to indicate an increase"
48,Emerging Financial,Feature_48,"Various types of data, including numbers, percentages, and"
51,Emerging Financial,Feature_51,"Tokens representing a news article title, with a"
52,Emerging Financial,Feature_52,"Market trends, company performance, and economic analysis, often"
54,Emerging Financial,Feature_54,"Financial and business-related information, including earnings reports, stock"
56,Top Financial,Feature_56,"Texts containing quotes and phrases expressing opinions, predictions,"
59,Emerging Financial,Feature_59,"Text snippets from various articles or documents, likely"
65,Consistent Financial,Feature_65,"A mix of numerical values, special characters, and"
83,Emerging Financial,Feature_83,"Specific phrases, likely representing news headlines or article"
103,Emerging Financial,Feature_103,"Text snippets from news articles or financial reports,"
106,Top Financial,Feature_106,"Stock market related terms and phrases, including company"
109,Top Financial,Feature_109,"Phrases and sentences with varying lengths, containing a"
115,Emerging Financial,Feature_115,"Investment and stock market, with frequent mentions of"
120,Emerging Financial,Feature_120,"Year numbers with special formatting, specifically with ""##"""
127,Emerging Financial,Feature_127,"""after"" frequently appears in the context of describing"
133,Top Financial,Feature_133,Text contains various phrases and sentences with high
146,Top Financial,Feature_146,"Special characters, punctuation, and tokens indicating the end"
150,Emerging Financial,Feature_150,"Inflation data, reports, and its impact on the"
174,Emerging Financial,Feature_174,"Frequent occurrences of the word ""higher"" in various"
184,Emerging Financial,Feature_184,"Financial and stock market related text, including stock"
